,Outlet,Language,Tweet,Date,Reply,Tweet_label
0,NUnl,NL,Zo wil het kabinet binnen vier maanden huizen regelen voor 20.000 statushouders ,2022-09-02 22:04:49,  Wij zijn ook mensen?,neutral
1,NUnl,NL,"Zo werkt het Deense asielbeleid, een van het strengste van Europa ",2022-05-29 08:12:22,  Kørig 👏🏽,neutral
2,NUnl,NL,"Ter Apel loopt weer vol met minderjarigen, die nu nergens anders heen kunnen ",2022-09-18 06:20:35,  Lekker terug naar pappie en mammie toch?,negative
3,NOS,NL,Gemeenten staan voor flinke opgave bij opvang vluchtelingen Oekraïne ,2022-03-12 07:55:07,  O,neutral
4,NUnl,NL,Hulporganisaties eisen structurele oplossing voor opvang vluchtelingen ,2022-03-30 14:22:58,  Vooral dat 'eisen'...stuit mij tegen de borst.           #TerApel  #vluchtelingen,neutral
5,NUnl,NL,Politie en IND registreren asielzoekers sneller om druk op Ter Apel te verlichten ,2022-08-17 08:13:48,"  Als de emmer vol is dan moet je de toevoer dicht draaien. Extra emmers plaatsen helpt ook , maar dan is je huis vol met emmers",positive
6,NOS,NL,Kabinet ziet af van opvang asielzoekers op zee ,2022-07-29 07:26:19,  Ze worden nu in en om het Binnenhof geplaatst. Veeeeeeeel meer ruimte.,neutral
7,NOS,NL,Ministerie zet straatcoaches in tegen overlast door asielzoekers Ter Apel  ,2022-11-10 15:35:20,"  Als je een vent was geweest, had je ze direct het land uitgeflikkerd, maar ja dat mag van je eigenaars Rutte en Kaag niet  Braaf slaafje ben je",negative
8,NOS,NL,'Gezondheidszorg niet goed toegankelijk voor Oost-Europese arbeidsmigranten' ,2022-04-12 12:28:58,  Schandalig hoe ze vaak behandeld worden in dit gave land…,negative
9,NUnl,NL,Vijftig vluchtelingen uit Oekraïne meldden zich tot nu toe in Ter Apel ,2022-03-01 10:46:01,  Zullen zich hier ook niet veilig voelen tussen al die mannen uit de andere landen!!,neutral
10,NUnl,NL,Meerdere auto's van Oekraïense vluchtelingen beschadigd in Rotterdam ,2022-05-08 16:20:11,  Als het waar is keihard op zoek naar de daders.,negative
11,NUnl,NL,"Nijmegen vangt 100 asielzoekers uit Ter Apel op, nog 200 slaapplekken nodig ",2022-04-20 09:12:57,  In Saoedi Arabië staan ook nog een paar luxe tenten leeg…,neutral
12,NUnl,NL,Waarom is er sprake van een opvangcrisis? De asielopvang in Nederland uitgelegd ,2022-06-21 13:31:12,"   , de asielcrisis is de schuld van dit kabinet.die wygert de instroom te stoppen door de grenzen te sluiten,als ze in Europa binnenkomen dan is een land verplicht ze asiel te geven maar ze komen met tourincars  naar Terapel",negative
13,NOS,NL,Ter Apel verboden gebied voor ongeregistreerde asielzoekers ,2022-09-11 15:22:52,  het word nu wel tijd voor een stop en tijd dat het kabinet op pleurt  en gelijk een regel als er een nieuwe regering komt de grenzen dicht gooien,negative
14,NUnl,NL,Boodschap NS aan Oekraïense vluchtelingen: paspoort is je treinkaartje ,2022-03-01 16:48:53,"  Zo genereus als we omgaan met vluchtelingen uit de Oekraïne zo slecht gaan we om met vluchtelingen uit Syrië en Afrika. Terwijl ook die vluchten voor oorlog en geweld.  ""Boodschap NS aan Oekraïense vluchtelingen: paspoort is je treinkaartje"" ",positive
15,NOS,NL,Onvrede bij VVD-leden over asieldeal en koers van de partij  ,2022-11-08 17:11:48,"  Allemaal voor de bühne, een inlegvelletje doet wonderen en gaan over tot de orde van de dag",negative
16,NOS,NL,Kabinet wil op termijn vier grote opvanglocaties voor asielzoekers ,2022-06-17 13:17:24,  Te koop in duiseland bel38652915 huis.winkel biede,neutral
17,NOS,NL,Nog geen akkoord veiligheidsregio's en kabinet over asielopvang  ,2022-06-20 21:43:21,"  Lak aan ons Volk, onze kinderen, dat zich onderwijl  verkocht,  verraden voelt.  Wat een arrogant, elitair 'Binnenhof tuig'.  En onze 2e kamer, let wel, onze vertegenwoordigers ? Niets. PVV, niets. Oordovend stil ! Onze: niks !",neutral
18,NUnl,NL,Staatssecretaris baalt omdat nieuwe asielwet mogelijk weer vertraging oploopt ,2022-11-09 14:41:33,  Balen en falen.,negative
19,NUnl,NL,Hartziekten bij vrouwen met migratieachtergrond: de kennis blijft achter ,2022-11-11 07:17:10,  En ?.....................................,negative
20,NUnl,NL,Honderden migranten bestormen Spaanse enclave Melilla ,2022-06-26 06:27:33,"  ""Mensen"" die op deze manier een land binnen proberen te komen noem je trouwens geen migranten.  Dit zijn bezetters.",negative
21,NUnl,NL,Roosendaal vangt 50 asielzoekers op die anders op stoel in Ter Apel moesten slapen ,2022-05-19 13:22:45,  Ze moeten gewoon meer huizen bouwen.,positive
22,NOS,NL,Asielzoekers Ter Apel met bussen overgebracht naar andere opvanglocaties ,2022-08-27 18:35:12,  Onderweg naar een van deze mensen? Zou wel zo netjes zijn.,neutral
23,NUnl,NL,COA wil opnieuw asielzoekers voor de poort in Ter Apel naar noodopvang brengen ,2022-07-22 14:23:03,  Grenzen dicht!,neutral
24,NUnl,NL,Waarom asielzoekers er in Ter Apel soms zelf voor kiezen om buiten te slapen ,2022-08-26 13:20:21,  Moet de Nederlandse daklozen ook dankzij de overheid die Nederland kaalpluk,negative
25,NOS,NL,Miljarden extra naar asiel en migratie ,2022-10-09 20:59:07,"  NOS medewerkers en de regering behoren niet meer tot het Nederlandse volk. Zij hebben zich in dienst gesteld van joodse trollen, de slopers van Nederland.",neutral
26,NOS,NL,Fors meer kinderen melden zich in Nederland in hun eentje voor asiel ,2022-08-11 13:40:13,  Vorig jaar stond er plots een klein kind bij ons op het station. Zijn ogen stonden moe ; Het zocht naar' iets' maar wist niet wat. Gelukkig zag een chauffeur zijn wanhoop! Zijn hart brak. Het kind werd door hem geholpen en kwam goed terecht!  9 jaar was dit kind.,negative
27,NUnl,NL,Kabinet gaat versnelde verhuizing statushouders vrijwel zeker niet op tijd halen ,2022-08-12 13:49:37,"  Kijk eens naar die foto, allemaal doctoren, ingenieurs en andere hoog opgeleiden...",negative
28,NUnl,NL,Bewoner aangehouden om bedreiging in ‘onrustig’ asielzoekerscentrum Budel ,2022-01-29 18:08:46,"      Wanneer wordt hier hard tegen op getreden. Té vaak, Té veel. #AZC",negative
29,NUnl,NL,Russische vluchtelingen willen niet meer terug: 'Ik ben bang voor de politie' ,2022-04-09 22:48:57,"  O komt nu die groep mensen ook al naar Nederland toe. Wanneer begrijpen bepaalde mensen nu eens dat Nederland vol is. Juliana zei het al in de jaren 60 ."" We zijn vol"" .maar helaas we hebben er sindsdien 8 miljoen bij gekregen.",negative
30,NUnl,NL,Kabinet 'overtuigd' dat pakket asielmaatregelen crisis zal oplossen ,2022-08-29 09:44:47,"  Ik ben er ook van overtuigd dat het helemaal niet helpt. We worden overlopen, niet te betalen en voor onze kinderen geen woning meer te krijgen.  #gaafland",positive
31,NUnl,NL,Alweer moeten mensen op stoel slapen door drukte in aanmeldcentrum Ter Apel ,2022-06-14 09:43:37,  ,negative
32,NUnl,NL,150 jonge asielzoekers krijgen opvangplek buiten aanmeldcentrum Ter Apel ,2022-09-03 06:04:26,  ,neutral
33,NOS,NL,Cruiseschip voor duizend asielzoekers komt aan in Amsterdamse haven ,2022-10-02 15:37:55,"  Een cruiseschip liggende in haven gebruikt 5 tot 10 megawatt, tel daarbij huur schip op plus het eten,leefgeld, personeel, ik schat dat de kosten per asiezoeker ergens 300 p.p p.dag is...easy ",neutral
34,NOS,NL,"VK mag asielzoekers uitzetten naar Rwanda, rechter wijst bezwaar af ",2022-06-14 15:17:55,  Goede zaak. Nu NL nog,neutral
35,NOS,NL,Voor het eerst in lange tijd slapen geen asielzoekers gedwongen buiten in Ter Apel ,2022-08-29 17:42:59,  Gaan we dan nu de gedwongen daklozen helpen?,neutral
36,NOS,NL,"Belarus ontruimt migrantenkamp, duwt mensen de Poolse grens over ",2022-03-23 15:31:20,  Gaan we nu opeens moeilijk doen over vluchtelingen? Wat een hypocrite shit.,negative
37,NUnl,NL,"Aanmeldcentrum Ter Apel opnieuw propvol, twintig tenten bezet ",2022-06-16 08:46:20,  Dat zijn geen mensen die uit een oorlog gebied komen Dat zijn allemaal gelukzoekers. Kijk uit Oekraïne die mensen moeten even geholpen worden. en de rest terug waar je vandaan komt,negative
38,NOS,NL,In één maand 2000 minderjarige asielzoekers 'kwijtgeraakt' in Europa ,2022-10-06 21:30:23,  2000? Je autosleutels kwijtraken ok maar 2000 minderjarige 🙄,negative
39,NUnl,NL,Personeel opvanglocatie overlastgevende asielzoekers gebruikt onnodig geweld ,2022-10-14 10:29:58,  Het is onderhand wel duidelijk dat Nederland niet om kan gaan met de vredelievende asielzoekers. Het is overduidelijk dat de asielzoekers beter af zijn in een ander land.,negative
40,NOS,NL,"Asielzoekers overgeplaatst naar andere plekken, maar problemen in Ter Apel blijven  ",2022-05-16 07:19:46,  Overheid moet eens verstandig worden en paal en perk stellen aan het aantal binnenkomers. Niet de schuld of verantwoording bij Gemeenten en/of anderen stellen. Dit is niet meer humaan.,negative
41,NOS,NL,"Inwoners Albergen: kleiner aantal asielzoekers welkom, wij zijn sociaal  ",2022-09-01 13:49:35,"  Ik vind het goed dat de asielzoekers een plek krijgen, en de daklozen wachten al jaren voor een huis dat vind ik het heel heel erg voor de daklozen",positive
42,NOS,NL,Dodental schipbreuk migranten voor Syrische kust stijgt naar 71 ,2022-09-24 19:06:29,"  Tja als er nou verdomme eindelijk is fatsoenlijke vrede komt in het midden oosten,het daar economisch en sociaal ook goed geregeld word en alles daarnaast ook gemoderniseerd word,dan zal zoiets als dit ook niet gebeuren,als dat extreemnisme en oorlog moet daar stoppen nu meteen🛑",negative
43,NOS,NL,Groesbeek vangt 60 minderjarige asielzoekers op ,2022-10-09 16:36:21,  DEBILITAS EST.,neutral
44,NUnl,NL,Ter Apel vangt vijf keer zoveel alleenstaande kinderen op als toegestaan ,2022-08-28 15:44:34,  ,neutral
45,NOS,NL,"Opvang Polen draait op vrijwilligers, nog veel meer vluchtelingen verwacht ",2022-03-03 14:17:47,    We zijn bezig met lokale inzamelingen in Nederland. Kan je aangeven wat ze er vooral missen aan donaties?,neutral
46,NUnl,NL,Nog geen akkoord veiligheidsregio's en kabinet over nieuw plan asielopvang ,2022-06-21 06:24:01,  Als de regering grootste fout doen dan moet een andere het op knappen zorg eerst voor op van en haalt dan mensen hier na toe ze maken zoveel fouten niet normaal er zijn klanten die weg moeten en die zijn er nog het zijn geen tolken weg met dat zooitje niks gratis dan gaan ze van,neutral
47,NUnl,NL,Ruim 3.000 migranten vermist of overleden op weg van Afrika naar Europa ,2022-04-30 09:49:31,  Zijn ze goed af geen ellende meer voor hun,negative
48,NUnl,NL,Van der Burg probeert inwoners Bant te overtuigen van tweede locatie asielzoekers ,2022-09-11 15:53:22,  Oprotten met die troep.  Wij moeten hetzelfde doen als Denemarken..... het leven van deze gasten ZUUR maken. MASSAAL!!!,neutral
49,NUnl,NL,Asielzoekers liggen urenlang op grasveld buiten aanmeldcentrum Ter Apel ,2022-05-12 13:26:37,"  Laat maar buiten leggen ,economische asielzoekers.",neutral
